리뷰ID,작성자,프로필이미지,평점,작성일,상품옵션,구매자정보,리뷰라벨,리뷰내용
REVIEW_ITEM_4718808911,dopi*****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,한달사용양 방향으로 다 가능해요. 좋아요. 시원해요.
REVIEW_ITEM_4682034946,y3****,https://phinf.pstatic.net/contact/20200716_288/1594898237216ht8YI_JPEG/image.jpg?type=f76_76,5,,구성: 싱글세트(1개),,,목이 아파서 그동안 구입한 경추 베개 목 견인기 금액만 합쳐도 몇 백먼원은 될 것 같습니다. 백지영씨 YouTube를 통해 이제라도 좋은 제품 만났으니 잘 써 보도록 해야지요. 처음 넥가드 유명해졌을 때는 구매 시도 자체를 못 했습니다. 너무 오래 기다려야 하고 엄두가 안나더군요. 그냥 저냥 아픈 목을 가지고 시간이 지나다 보니 갑자기 또 생각나서 들어가 보니 지금은 생산이 원활해져서 인지 바로 받을 수가 있더군요. 망설임 없이 구매했습니다. 구매후 오늘 처음 사용해 보았습니다. 뭔가 불편하고 이질감이 있는 건 사실입니다. 처음이니까 그렇겠지요. 그런데 한가지 확실한 건 목이 이전보다 상당히 편하고 편해졌다는 겁니다. 머리로 통하는 혈액이 그동안 눌렸던 것에 비해서 더 증가 해서 그런 건지 머리가 핑~ 돌 정도로 어지러움이 있었어요. 10분 정도 하고 나서 일어났는데 맑아 지는 느낌입니다. 목이 편안해지니 맑아진 거 같애요. 진짜오늘 처음 사용해 본 겁니다. 하루 이틀 삼일 사용할 수록 뭔가 달라지는 부분이 있겠지요? 꾸준히 사용하고 꾸준히 좋아졌으면 좋겠습니다. 잘 사용하도록 하겠습니다. 좋은 제품 감사합니다.
REVIEW_ITEM_4720679176,olym******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,한달사용25년 구매한 것중에 최고로 꼽아요 목디스크로 고생했늣데 평소 자세도 신경쓰고 해도 습관은 바꾸기 힘드네요 하루에 틈틈히 시간만 되면 계속해요 하고나면 정말 시원해요 그래도 운동은 쉬었더니 다시 아파서 급하게 운동하면서 꾸준히 사용합니다 머리까락 끼는것도 덜하고 가성비도 좋고요
REVIEW_ITEM_4710438368,skag******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"백지영 유툽보고 구매~
첨 받을땐 이게 삼마넌대까지할 물건이야?싶었지만 왠걸~~하고나니 진짜 좋아졌네요
이삼일에 한번꼴로 하긴하지만~~목이 많이 편안해졌어요~~
백지영이 다시 팔아 달라고 할만 하네요ㅎ"
REVIEW_ITEM_4701061523,bril*******,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"목디스크때문에 인터넷에서 봤던 그 넥가드를 드디어 주문했습니다 제품 받은후 첫날부터 오늘까지 써보고 한 일주일정도 썼나요 그리고 리뷰작성해요. 진짜 만족스러워요 이거 쓰기 전보다 목힘들고 팔저린것도 좋아진거 같아요
이렇게 신기한 제품이 어디껀가 봤더니 제가 쓰는 경추베개만든 곳이더라고요? 기념으로 베개도 같이 찍어봤습니다 이 베개도 진짜 좋아요 저는 여행갈떄도 가지고 다닙니다 넥가드 꾸준히 쓰고 일자목 나아지길 기대중이며 여기저기 추천하고 다닐거 같아요"
REVIEW_ITEM_4708647779,muju***,https://phinf.pstatic.net/contact/20250330_139/1743329018845hsAv4_PNG/IMG_2129.PNG?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"유튜브 쇼츠 보고 혹해서 삿는데 너무 좋네용
확실히 목을 펴주는게 느껴져요!
처음에 넥가드를 대고 누울 때 이게 맞나 싶은데 나중가면 조금씩 편해지더라구요ㅋㅋ
하루 5~10분만 투자하면 되서 간편하고 좋습니다"
REVIEW_ITEM_4719599381,his4***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,"한달사용한 달 동안 꾸준히 사용했는데 목이 훨씬 편해진 느낌이에요. 처음에는 조금 어색했지만 사용법에 익숙해지면서 목 긴장도 많이 풀리고, 아침에 일어날 때 목통증이 줄어든 걸 느꼈어요. 집에서 간편하게 관리할 수 있어서 정말 만족합니다. 앞으로도 꾸준히 사용할 예정이에요!"
REVIEW_ITEM_4705255177,hiti***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"어제 받아보고 지금 사용중입니다
열어보고 어? 이게 과연 될까? 했는데요
지금 처음으로 베고 누워있는데 어..... 이거 매일할거 같습니다(욕심같아서는 한개 더 쟁여두고 싶네요)
저 경추 3 4 5 6번이 말썽이라 항상 물리치료가서 견인하는데 요거 베고있는 지금 느낌이 딱 옵니다 
오늘 한번으로 당연히 좋아지지는 않겠지만 꾸준히 쓰다보면 분명 효과볼듯합니다 
일하고 늦게 집에오고하면 물리치료를 건너뛰게 되서 항상 목이 뻐근하고 머리가 묵직했는데 
좋은 제품 알게 되어 너무 감사합니다
개발자님 항상 행복하시고 사업 번창하시길 바라겠습니다 ^^"
REVIEW_ITEM_4710081704,peta*****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,"한달사용10여년 전 교통사고로 다친 목이 한번 크게다치니 호전되다가도 조금망 무리하면 안좋아져서 
주기적으로 주사치료와 물리치료 좋다는 치료는 다 받아봤어요ㅠ 목이 아프면 두통도 팔저림도 있어서 삶의질이 정말 떨어지는데 이 제품도 속는셈 치고 사봤는데 정말 좋아요

가장 좋은건 플라스틱이나 부피가 큰 제품이 아니라 휴대성이 좋고 집에서 보관도 쉽다는점이에요
가격도 정말 저렴하고.. 사용법도 쉽구요
방송에 나와서그런지 주변에서도 다들 알더라구요
만족하며 사용하고있어요"
REVIEW_ITEM_4717821340,04****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,한달사용,한달사용어깨와 목 아파하는 아들 위해 검색하다 백지영님이 추천한다고 해서 구매해 사용중입니다. 늘 등이 아파 힘들었는데 좀 좋아진듯 해요. 아들도 좀 호전되는것 같대요.계속 열심히 사용해 볼래요.
REVIEW_ITEM_4715328000,youn***,https://phinf.pstatic.net/contact/20241117_135/17318313018885yHjy_PNG/avatar_profile.png?type=f76_76,3,,구성: 싱글세트(1개),,한달사용,한달사용악감정 없이 솔직하게 가격 대비 애매합니다. 효과가 없다고 보긴 힘들지만 견인기를 사용하는게 어땠을까 하는 생각이 자주 드네요. 상품 사진처럼 V자 커브가 유지된다면 효과가 더 있을지도 모르겠네요. 제 목이 길지도 짧지도 않지만 넥가드가 말려들어가서(거의 접힐듯) 견인력이 떨어지는 것 같아요.
REVIEW_ITEM_4705171759,dlsk***,https://phinf.pstatic.net/contact/20240717_233/1721228297563RDBCj_JPEG/image.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"접는게 빡세지만 운좋게 8차 예약 되기 전에 주문해서 일주일안되서 받았어요 ㅎㅎ
목 늘어나는 느낌은 나요 
목디스크 수술이랑 시술로 천만원 넘게 썼어요...
집에서 관리가 더 중요하다고 하니 이거 꾸준히 써볼게요 ㅠㅠ

6개월차 목디스크 환자 ㅠㅠ"
REVIEW_ITEM_4719448161,sy_s*****,https://phinf.pstatic.net/contact/20250410_42/1744266762324XSp92_PNG/profile.png?type=f76_76,5,,구성: 싱글세트(1개),,한달사용,한달사용내구성도 좋고 가성비는 최고입니다. 목견인 효과는 뭐. 치료기라고하는 그렇고 시원한정도 효과입니다
REVIEW_ITEM_4720899302,auth****,https://phinf.pstatic.net/contact/20170624_20/1498273471648fjqLY_PNG/avatar_profile.png?type=f76_76,5,,구성: 싱글세트(1개),,한달사용,한달사용매일 꾸준히하고나면 시원하고좋아요 할때 중심잘잡아놓고 사용해야해요 안그러면 더아파요 목에 힘주지말고 자연스럽게 올려놓고사용허시면효과볼거에요
REVIEW_ITEM_4708404102,chee*****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"초반에는 아플 수 있다고 해서 좀 긴장하고 써봤는데 너무 시원합니다. 처음 쓰면서 뭐가 당겨지는 건지는 잘 모르겠는데 그냥 너무 시원해서 잠들 뻔했어요. 근데 설명서에 잠들어서 너무 오래 쓰면 안 된다고 하셔서 그다음부터는 알람 켜고 쓰고 있습니다. 솟은 어깨랑 거북목이 심해져서 등이랑 어깨가 너무 아팠는데 잘 맞추고 누우면 싸악 풀어지고요, 저혈압이라 머리 맑은 날이 잘 없는데 이거 하고 나면 뇌로 피가 잘 가서 맑아지는 느낌이 들어서 너무 좋습니다. 하루에 10분 베고 눕는 시간이 힐링타임이네요."
REVIEW_ITEM_4715314670,yss5***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"반으로 접기가 쉽지않아 양끝을 힘을 꽉쥐는 요령이 필요합니다. 경추, 척추가 아프고 불편한 사람치고 보조기구 여러개 사보는 실패를 안해본 사람은 없을 겁니다. 저또한 그랬구요. 처음으로 보조기구에 리뷰를 써봅니다. 처음으로 실패하지않은 진짜 경추 보조기구입니다!"
REVIEW_ITEM_4719999911,qufs******,https://phinf.pstatic.net/contact/20180404_138/1522795545220BLtgr_PNG/avatar_profile.png?type=f76_76,5,,구성: 싱글세트(1개),,한달사용,"한달사용유튜브보다가 백지영님이 좋다고 하여 구매했지요
목아플때 목스트레칭해주니 시원하네요
오래하면 안된다고 주의사항에 있어 지키며 사용하려고요"
REVIEW_ITEM_4703962358,musu****,https://phinf.pstatic.net/contact/20230417_119/1681721963899ltoOf_JPEG/image.jpg?type=f76_76,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"반신반의해서 구매했는데 엄청 시원하네요 

저는 직업특성상 노트북이랑 핸드폰을 오래 만지고 있어야해서 항상 승모근이 뭉쳐있고 목 부분이 자주 결리는데 집에 있는 마사지건으로도 안 풀릴때가 있어서 궁금해서 구매해보았습니다. 

배송은 주말이 있어서 3일 정도 걸렸고요, 
배송 받고 티비보면서 살짝 5분정도 해보고 일어났는데 목이 엄청 시원해진 느낌입니다. 
쫙 땡겨진 느낌?? 

아직 제 자세에 맞는 요령을 못찾은 느낌인데 
꽂은 상태에서 넥가드 위치를 여기저기 잡아주면 풀리는 위치도 조금씩 다른 것 같고요! 
승모근 많이 뭉치는 분들에게도 강추입니다. 
너무 시원하고 좋아요!"
REVIEW_ITEM_4706351333,pr****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"이거 뒤늦게 유튜브에서 추천하는거 보고 샀는데요 
진짜 좋아요 처음에는 좀 불편했는데 세번 네번 쓰니까 너무 편하고 좋아요 
10분하면 바로 꿀잠들어서 꼭 알람맞춰놓고 누워야되더라구요
부모님께도 사용해보라고 권해드렸는데 엄마는 처음부터 너무 편하다고 하셨고 아빠는 좀 불편하다고 했어요 익숙해지면 목도 스트레칭되고 좋은듯해요 그리고 휴대하기좋아서 어디든
들고다니기 좋은거같아오
다만 쉡게 손톱자국이 나는것과 좀 자주썼더니 가운데가 접히는데 처음과 동일한 견인효과가 계속되는걸까요?"
REVIEW_ITEM_4709856993,rims****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,예약주문: 4월17일부터 순차출고 / 구성: 싱글세트(1개),,,"남편이 목 디스크가 점점 심해진다해서 주문했어요
겸사겸사 주위에 디스크 심하다는 사람들 주려 여러개 주문 했구요
남편이 시원하다거 좋아하네요!
짱짱하게 받쳐줘서 꾸준히 효과 잇길 바래야겠어요 ㅎㅎ"
REVIEW_ITEM_4719593939,hjy3***,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,4,,구성: 싱글세트(1개),,한달사용,한달사용일단 목이 시원한 느낌과 견인되는 느낌은 좋습니다.  근데  제가 방법을 잘 모르는 건지 타 견인기 만큼은 아닌거 같네요.. 좋다고 하니 좀 더 잘 사용해 보겠습니다.
REVIEW_ITEM_4705743904,mylo********,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"남편 자고 일어나서 목이 불편하다며 베개만 4~5번 바꿨는데. 병원 가보니 목디스크라네요~ 
수술할 정도는 아니라서 통증 주사 맞고 약 처방받았어요~
그러다 알게된 넥가드~ 대게 단순하게 생겼는데, 후기들이 좋아서 기대허고 있어요~꾸준히 쓰면 효과가 있길 기대해요~"
REVIEW_ITEM_4703081286,oh****,https://phinf.pstatic.net/contact/20240128_278/1706414299704tfw3K_PNG/profile.png?type=f76_76,5,,구성: 싱글세트(1개),,,"유튜브에서 보고 고민하다가 구매하게 되었어요. 평소 컴퓨터와 핸드폰를 오래 봐서 이러다 내 목 큰일 나겠다 싶어서요😇 배송받자마자 뜯어서 사용해봤는데요, 이거 진짜 짱짱하고 힘을 빡 주고 접은 상태에서 사용해야해서 처음 자리잡는 게 조금 힘들긴 한데, 그만큼 사용하고 나면 개운하고 뭔가 짧은 시간에 엄청난 압력으로 목을 스트레칭해준 느낌이 들어요. 하고 나면 매우 개운하고 시원해요ㅎㅎ  제가 목이 좀 두껍고 살이 쪄서 짧다고 느껴지는 편인데, 그래도 할만 합니다!  매일 10분~15분씩 해주고  있는데 목 교정? 스트레칭에 효과가 있으면 좋겠네요!"
REVIEW_ITEM_4718602842,jung*****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,5,,구성: 싱글세트(1개),,,"목이 자연스레 늘어나는 구조네요
좋아요"
REVIEW_ITEM_4712221730,d2****,https://profile-phinf.pstatic.net/404/default.png?type=f80_80,4,,구성: 싱글세트(1개),,,"목 견인기를 처음 써봐서, 사실 하고있는 동안은 견인이 잘 되고있는 건지 소문대로 엄청나게 시원한 건지 잘 모르겠어요. 근데 하고나면 개운한 느낌이 있어요 그리고 육안으로 봤을 때 왠지 목이 길어진 느낌도 있어요.
아 그리고 부차적인 효과로 뒷목 헤어라인 쪽을 지압해주니까 거기에서 오는 시원함도 좋네용ㅎㅎ"
REVIEW_ITEM_4717550013,isju****,https://phinf.pstatic.net/contact/20240228_125/1709115625851fyVHa_JPEG/%BF%C0%BF%F9%C0%CC.jpg?type=f76_76,5,,구성: 싱글세트(1개),,,"처음엔 너무 단단해서 구부리는게 쉽지 않고 자세 잡는게 어색했는데 하다보니 익숙해지고 몸도 더 편해졌어요
하루 10분 투자로 어꺄와 목이 편해지고 있습니다"
REVIEW_ITEM_4714120163,hyun****,https://phinf.pstatic.net/contact/20250201_47/1738375556676Or3nx_JPEG/image.jpg?type=f76_76,2,,구성: 싱글세트(1개),,한달사용,한달사용솔직히 뭐가 좋은지 모르겠습니다. 누웠을 때 눌러지는 압력에 의해 약간의 시원함은 있을 뿐 위아래로 견인하는건 전혀 못 느끼겠고 3.9 값어치 하는지도 모르겠어요. 돈이 조금 아깝습니다.
